Title,Price,Image
Website Developer Platinum (Fu...,Rp. 4.000.000,https://academy.babastudio.com/course-package/images/packageCourse-4-200615124607.jpg
Php Platinum (Back End),Rp. 3.000.000,https://academy.babastudio.com/course-package/images/packageCourse-6-200619120351.jpg
Microsoft Platinum (Lengkap),Rp. 1.200.000,https://academy.babastudio.com/course-package/images/packageCourse-7-200615124625.jpg
Internet Marketing Platinum (L...,Rp. 4.000.000,https://academy.babastudio.com/course-package/images/packageCourse-9-200615124639.jpg
Paket Kursus Seo Pro,Rp. 2.200.000,https://academy.babastudio.com/course-package/images/packageCourse-14-200727135505.jpeg
Design Grafis Platinum (Lengka...,Rp. 1.500.000,https://academy.babastudio.com/course-package/images/packageCourse-16-200615124701.jpg
Web Design (Front End),Rp. 3.000.000,https://academy.babastudio.com/course-package/images/packageCourse-21-200619120412.jpg
Mobile Apps Developer,Rp. 3.000.000,https://academy.babastudio.com/course-package/images/packageCourse-29-200619120458.jpg
Membangun Corporate Website Me...,Rp. 699.000,https://academy.babastudio.com/xxcourses/images/courses-1-200612122808.jpeg
"Membuat Logo, Banner, Web Slic...",Rp. 699.000,https://academy.babastudio.com/xxcourses/images/courses-2-200612163737.jpeg
Membuat Cover Majalah Dan Desa...,Rp. 699.000,https://academy.babastudio.com/xxcourses/images/courses-8-200612163754.jpeg
"Pengenalan Komputer, Internet,...",Rp. 699.000,https://academy.babastudio.com/xxcourses/images/courses-10-200612113227.jpeg
